0.000 2.0000  2744.91
0.000 2.0600  2978.46
0.000 2.1200  3123.06
0.000 2.1800  3672.30
0.000 2.2400  3218.51
0.000 2.3000  2898.89
0.000 2.3600  2971.11
0.000 2.4200  3024.21
0.000 2.4800  3351.91
0.000 2.5400  3097.23
0.000 2.6000  3120.39
0.000 2.6600  3124.77
0.000 2.7200  3137.32
0.000 2.7800  3134.83
0.000 2.8400  3212.57
0.000 2.9000  3278.92
0.000 2.9600  3324.26
0.000 3.0200  3379.63
0.000 3.0800  3598.99
0.000 3.1400  3627.60
0.000 3.2000  3459.64
0.000 3.2600  3466.12
0.000 3.3200  3467.55
0.000 3.3800  4352.54
0.000 3.4400  4006.91
0.000 3.5000  3721.51
0.000 3.5600  3649.60
0.000 3.6200  3684.89
0.000 3.6800  4028.28
0.000 3.7400  3846.99
0.000 3.8000  4056.05
0.000 3.8600  3774.15
0.000 3.9200  3768.17
0.000 3.9800  3776.55
0.000 4.0400  3830.90
0.000 4.1000  3882.60
0.000 4.1600  3937.07
0.000 4.2200  3968.09
0.000 4.2800  4006.93
0.000 4.3400  4032.27
0.000 4.4000  4044.25
0.000 4.4600  4065.13
0.000 4.5200  4062.15
0.000 4.5800  4070.90
0.000 4.6400  4099.78
0.000 4.7000  4544.34
0.000 4.7600  4200.83
0.000 4.8200  4239.71
0.000 4.8800  4269.10
0.000 4.9400  4463.46
0.000 5.0000  5143.47
0.000 5.0600  4337.27
0.000 5.1200  4341.30
0.000 5.1800  4346.48
0.000 5.2400  4347.43
0.000 5.3000  4623.04
0.000 5.3600  4437.58
0.000 5.4200  4485.38
0.000 5.4800  4506.54
0.000 5.5400  4549.92
0.000 5.6000  4566.38
0.000 5.6600  4588.23
0.000 5.7200  4601.05
0.000 5.7800  4603.20
0.000 5.8400  4613.01
0.000 5.9000  4615.24
0.000 5.9600  4651.67
0.000 6.0200  4710.51
0.000 6.0800  4741.15
0.000 6.1400  4779.43
0.000 6.2000  4956.83
0.000 6.2600  4831.65
0.000 6.3200  5010.65
0.000 6.3800  4845.79
0.000 6.4400  4865.60
0.000 6.5000  4856.29
0.000 6.5600  5274.68
0.000 6.6200  5364.42
0.000 6.6800  4958.78
0.000 6.7400  4991.63
0.000 6.8000  5028.41
0.000 6.8600  5042.03
0.000 6.9200  5075.26
0.000 6.9800  5078.01
0.000 7.0400  5101.12
0.000 7.1000  5100.69
0.000 7.1600  5108.07
0.000 7.2200  5104.82
0.000 7.2800  5156.49
0.000 7.3400  5183.96
0.000 7.4000  5232.11
0.000 7.4600  5248.67
0.000 7.5200  5290.69
0.000 7.5800  5299.21
0.000 7.6400  5320.29
0.000 7.7000  5330.11
0.000 7.7600  5526.85
0.000 7.8200  5697.83
0.000 7.8800  5337.20
0.000 7.9400  5369.13
0.000 8.0000  5419.99

0.002 2.0000  2709.20
0.002 2.0600  2849.59
0.002 2.1200  3011.81
0.002 2.1800  3537.16
0.002 2.2400  3124.75
0.002 2.3000  2854.78
0.002 2.3600  2925.78
0.002 2.4200  2977.96
0.002 2.4800  3173.15
0.002 2.5400  3053.48
0.002 2.6000  3076.04
0.002 2.6600  3080.16
0.002 2.7200  3095.50
0.002 2.7800  3092.76
0.002 2.8400  3155.61
0.002 2.9000  3220.57
0.002 2.9600  3269.70
0.002 3.0200  3323.79
0.002 3.0800  3357.71
0.002 3.1400  3391.43
0.002 3.2000  3405.66
0.002 3.2600  3411.75
0.002 3.3200  3416.37
0.002 3.3800  4032.38
0.002 3.4400  3694.69
0.002 3.5000  3534.26
0.002 3.5600  3580.08
0.002 3.6200  3619.36
0.002 3.6800  3813.20
0.002 3.7400  3674.66
0.002 3.8000  3848.75
0.002 3.8600  3709.89
0.002 3.9200  3707.42
0.002 3.9800  3715.32
0.002 4.0400  3748.16
0.002 4.1000  3804.24
0.002 4.1600  3857.07
0.002 4.2200  3887.00
0.002 4.2800  3929.83
0.002 4.3400  3954.17
0.002 4.4000  3970.10
0.002 4.4600  3990.10
0.002 4.5200  3986.77
0.002 4.5800  3998.97
0.002 4.6400  4005.76
0.002 4.7000  4225.38
0.002 4.7600  4109.59
0.002 4.8200  4147.01
0.002 4.8800  4180.83
0.002 4.9400  4213.28
0.002 5.0000  4731.86
0.002 5.0600  4250.93
0.002 5.1200  4254.44
0.002 5.1800  4263.43
0.002 5.2400  4263.73
0.002 5.3000  4284.74
0.002 5.3600  4335.02
0.002 5.4200  4380.98
0.002 5.4800  4407.06
0.002 5.5400  4448.77
0.002 5.6000  4464.26
0.002 5.6600  4490.42
0.002 5.7200  4502.42
0.002 5.7800  4508.77
0.002 5.8400  4517.91
0.002 5.9000  4506.82
0.002 5.9600  4537.60
0.002 6.0200  4594.08
0.002 6.0800  4623.17
0.002 6.1400  4666.23
0.002 6.2000  4691.28
0.002 6.2600  4713.90
0.002 6.3200  4735.57
0.002 6.3800  4739.33
0.002 6.4400  4758.11
0.002 6.5000  4748.53
0.002 6.5600  4780.52
0.002 6.6200  4928.98
0.002 6.6800  4827.84
0.002 6.7400  4865.98
0.002 6.8000  4900.95
0.002 6.8600  4919.78
0.002 6.9200  4951.41
0.002 6.9800  4953.44
0.002 7.0400  4980.99
0.002 7.1000  4980.01
0.002 7.1600  4991.71
0.002 7.2200  4988.09
0.002 7.2800  5012.58
0.002 7.3400  5045.86
0.002 7.4000  5091.70
0.002 7.4600  5106.91
0.002 7.5200  5149.45
0.002 7.5800  5161.28
0.002 7.6400  5187.23
0.002 7.7000  5196.10
0.002 7.7600  5206.71
0.002 7.8200  5212.93
0.002 7.8800  5209.65
0.002 7.9400  5213.40
0.002 8.0000  5266.25

0.004 2.0000  2675.56
0.004 2.0600  2746.33
0.004 2.1200  2921.32
0.004 2.1800  3439.89
0.004 2.2400  3034.94
0.004 2.3000  2811.12
0.004 2.3600  2880.99
0.004 2.4200  2932.30
0.004 2.4800  3034.13
0.004 2.5400  3010.29
0.004 2.6000  3032.30
0.004 2.6600  3039.42
0.004 2.7200  3054.26
0.004 2.7800  3051.30
0.004 2.8400  3099.45
0.004 2.9000  3163.10
0.004 2.9600  3215.89
0.004 3.0200  3268.78
0.004 3.0800  3301.89
0.004 3.1400  3327.05
0.004 3.2000  3352.55
0.004 3.2600  3358.30
0.004 3.3200  3365.99
0.004 3.3800  3854.64
0.004 3.4400  3456.68
0.004 3.5000  3467.13
0.004 3.5600  3511.82
0.004 3.6200  3554.93
0.004 3.6800  3621.93
0.004 3.7400  3608.62
0.004 3.8000  3672.84
0.004 3.8600  3646.81
0.004 3.9200  3647.73
0.004 3.9800  3655.20
0.004 4.0400  3667.06
0.004 4.1000  3727.32
0.004 4.1600  3778.63
0.004 4.2200  3808.40
0.004 4.2800  3854.20
0.004 4.3400  3877.65
0.004 4.4000  3897.37
0.004 4.4600  3916.58
0.004 4.5200  3912.97
0.004 4.5800  3928.46
0.004 4.6400  3921.49
0.004 4.7000  3982.84
0.004 4.7600  4020.28
0.004 4.8200  4056.36
0.004 4.8800  4094.41
0.004 4.9400  4125.66
0.004 5.0000  4403.50
0.004 5.0600  4166.46
0.004 5.1200  4169.52
0.004 5.1800  4182.17
0.004 5.2400  4182.15
0.004 5.3000  4179.83
0.004 5.3600  4234.78
0.004 5.4200  4279.05
0.004 5.4800  4309.80
0.004 5.5400  4349.97
0.004 5.6000  4364.61
0.004 5.6600  4394.86
0.004 5.7200  4406.13
0.004 5.7800  4416.49
0.004 5.8400  4425.03
0.004 5.9000  4417.83
0.004 5.9600  4426.27
0.004 6.0200  4480.56
0.004 6.0800  4508.23
0.004 6.1400  4555.82
0.004 6.2000  4579.62
