#      t/s        x/m       fs/N     v/(m/s)  a/(m/s/s)       p/N
   +8.9200 -0.0004198      -3347  +0.004337   +0.07883  -587.7853
   +8.9300 -0.0003728      -2972   +0.00504   +0.06179  -809.0170
   +8.9400 -0.0003196      -2548  +0.005577   +0.04561  -951.0565
   +8.9500 -0.0002618      -2087   +0.00596   +0.03105 -1000.0000
   +8.9600 -0.0002008      -1601  +0.006208   +0.01857  -951.0565
   +8.9700  -0.000138      -1100  +0.006343  +0.008312  -809.0170
   +8.9800 -7.427e-05     -592.1  +0.006385 +0.0001225  -587.7853
   +8.9900 -1.053e-05      -83.9  +0.006354  -0.006432  -309.0170
   +9.0000  +5.26e-05     +419.3  +0.006261   -0.01198    -0.0000
   +9.0100 +0.0001145     +912.9  +0.006115   -0.01725  +309.0170
   +9.0200 +0.0001747      +1393  +0.005914     -0.023  +587.7853
   +9.0300 +0.0002326      +1854   +0.00565   -0.02986  +809.0170
   +9.0400 +0.0002875      +2291  +0.005309    -0.0383  +951.0565
   +9.0500 +0.0003385      +2698  +0.004875   -0.04852 +1000.0000
   +9.0600 +0.0003846      +3066   +0.00433   -0.06042  +951.0565
   +9.0700 +0.0004246      +3385   +0.00366    -0.0736  +809.0170
   +9.0800 +0.0004573      +3646  +0.002855   -0.08737  +587.7853
   +9.0900 +0.0004813      +3837  +0.001914    -0.1008  +309.0170
   +9.1000 +0.0004952      +3948 +0.0008465    -0.1128    +0.0000
   +9.1100 +0.0004979      +3969 -0.0003286    -0.1222  -309.0170
   +9.1200 +0.0004884      +3893   -0.00158     -0.128  -587.7853
   +9.1300 +0.0004662      +3716  -0.002866    -0.1293  -809.0170
   +9.1400 +0.0004311      +3436   -0.00414    -0.1254  -951.0565
   +9.1500 +0.0003836      +3058  -0.005346    -0.1159 -1000.0000
   +9.1600 +0.0003246      +2587  -0.006431    -0.1011  -951.0565
   +9.1700 +0.0002555      +2037  -0.007343   -0.08132  -809.0170
   +9.1800 +0.0001784      +1422  -0.008037   -0.05743  -587.7853
   +9.1900 +9.564e-05     +762.4  -0.008477   -0.03061  -309.0170
   +9.2000  +9.81e-06      +78.2  -0.008642  -0.002234    -0.0000
   +9.2100 -7.624e-05     -607.8  -0.008522   +0.02619  +309.0170
   +9.2200 -0.0001597      -1273  -0.008125   +0.05317  +587.7853
   +9.2300 -0.0002379      -1896  -0.007473    +0.0773  +809.0170
   +9.2400 -0.0003084      -2459  -0.006599   +0.09742  +951.0565
   +9.2500 -0.0003693      -2944  -0.005549    +0.1127 +1000.0000
   +9.2600  -0.000419      -3340  -0.004372    +0.1226  +951.0565
   +9.2700 -0.0004565      -3639  -0.003124    +0.1271  +809.0170
   +9.2800 -0.0004814      -3837  -0.001856    +0.1264  +587.7853
   +9.2900 -0.0004937      -3936 -0.0006176    +0.1213  +309.0170
   +9.3000  -0.000494      -3938 +0.0005513    +0.1125    +0.0000
   +9.3100  -0.000483      -3850   +0.00162    +0.1012  -309.0170
   +9.3200  -0.000462      -3683  +0.002568   +0.08842  -587.7853
   +9.3300 -0.0004321      -3444  +0.003386    +0.0753  -809.0170
   +9.3400 -0.0003947      -3146  +0.004076   +0.06272  -951.0565
   +9.3500  -0.000351      -2798  +0.004647   +0.05136 -1000.0000
   +9.3600 -0.0003021      -2408  +0.005112   +0.04163  -951.0565
   +9.3700  -0.000249      -1985  +0.005488    +0.0336  -809.0170
   +9.3800 -0.0001926      -1535  +0.005791   +0.02707  -587.7853
   +9.3900 -0.0001334      -1063  +0.006034   +0.02155  -309.0170
   +9.4000 -7.206e-05     -574.4  +0.006224   +0.01641    -0.0000
   +9.4100 -9.089e-06     -72.45  +0.006361    +0.0109  +309.0170
   +9.4200 +5.495e-05     +438.1  +0.006437  +0.004278  +587.7853
   +9.4300 +0.0001194     +951.8  +0.006438  -0.004079  +809.0170
   +9.4400 +0.0001834      +1462  +0.006344    -0.0146  +951.0565
   +9.4500 +0.0002459      +1960  +0.006134   -0.02743 +1000.0000
   +9.4600 +0.0003056      +2436  +0.005785   -0.04243  +951.0565
   +9.4700 +0.0003611      +2878  +0.005277   -0.05912  +809.0170
   +9.4800 +0.0004106      +3273  +0.004598   -0.07672  +587.7853
   +9.4900 +0.0004524      +3607  +0.003743   -0.09422  +309.0170
   +9.5000 +0.0004849      +3865   +0.00272    -0.1104    +0.0000
   +9.5100 +0.0005063      +4036  +0.001547    -0.1242  -309.0170
   +9.5200 +0.0005154      +4109 +0.0002553    -0.1342  -587.7853
   +9.5300 +0.0005112      +4075  -0.001113    -0.1395  -809.0170
   +9.5400 +0.0004931      +3931  -0.002508    -0.1395  -951.0565
   +9.5500 +0.0004611      +3676  -0.003874    -0.1336 -1000.0000
   +9.5600 +0.0004159      +3315  -0.005151    -0.1219  -951.0565
   +9.5700 +0.0003586      +2858  -0.006285    -0.1048  -809.0170
   +9.5800 +0.0002908      +2318  -0.007224   -0.08304  -587.7853
   +9.5900 +0.0002149      +1713  -0.007928   -0.05777  -309.0170
   +9.6000 +0.0001332      +1062  -0.008368   -0.03033    -0.0000
   +9.6100 +4.844e-05     +386.1  -0.008531  -0.002203  +309.0170
   +9.6200 -3.653e-05     -291.2  -0.008416   +0.02511  +587.7853
   +9.6300  -0.000119     -948.8   -0.00804   +0.05022  +809.0170
   +9.6400 -0.0001965      -1567  -0.007429   +0.07194  +951.0565
   +9.6500 -0.0002669      -2128  -0.006622   +0.08937 +1000.0000
   +9.6600 -0.0003285      -2619  -0.005666     +0.102  +951.0565
   +9.6700 -0.0003799      -3029  -0.004607    +0.1096  +809.0170
   +9.6800 -0.0004205      -3352  -0.003496    +0.1126  +587.7853
   +9.6900 -0.0004498      -3586  -0.002377    +0.1113  +309.0170
   +9.7000 -0.0004681      -3732  -0.001288    +0.1066    +0.0000
   +9.7100 -0.0004758      -3793  -0.000257   +0.09953  -309.0170
   +9.7200 -0.0004735      -3775 +0.0006959   +0.09105  -587.7853
   +9.7300 -0.0004621      -3684  +0.001562   +0.08214  -809.0170
   +9.7400 -0.0004426      -3528  +0.002341   +0.07362  -951.0565
   +9.7500 -0.0004156      -3313  +0.003039   +0.06608 -1000.0000
   +9.7600  -0.000382      -3045  +0.003669   +0.05983  -951.0565
   +9.7700 -0.0003424      -2729  +0.004242   +0.05487  -809.0170
   +9.7800 -0.0002973      -2370  +0.004771   +0.05092  -587.7853
   +9.7900 -0.0002471      -1970  +0.005263   +0.04745  -309.0170
   +9.8000 -0.0001922      -1532  +0.005719   +0.04377    -0.0000
   +9.8100 -0.0001329      -1059  +0.006133   +0.03909  +309.0170
   +9.8200 -6.967e-05     -555.4  +0.006492   +0.03266  +587.7853
   +9.8300 -3.264e-06     -26.02  +0.006775   +0.02386  +809.0170
   +9.8400 +6.548e-05       +522  +0.006955   +0.01226  +951.0565
   +9.8500 +0.0001354      +1079  +0.007005  -0.002269 +1000.0000
   +9.8600 +0.0002051      +1635  +0.006896   -0.01953  +951.0565
   +9.8700 +0.0002727      +2174  +0.006604     -0.039  +809.0170
   +9.8800 +0.0003365      +2682  +0.006109   -0.05984  +587.7853
   +9.8900 +0.0003942      +3143  +0.005406   -0.08096  +309.0170
   +9.9000 +0.0004439      +3538  +0.004495    -0.1011    +0.0000
   +9.9100 +0.0004835      +3854  +0.003395    -0.1189  -309.0170
   +9.9200 +0.0005112      +4075  +0.002134    -0.1332  -587.7853
   +9.9300 +0.0005258      +4191 +0.0007536    -0.1429  -809.0170
   +9.9400 +0.0005261      +4194 -0.0006957     -0.147  -951.0565
   +9.9500 +0.0005118      +4080  -0.002156    -0.1451 -1000.0000
   +9.9600 +0.0004831      +3851  -0.003568    -0.1372  -951.0565
   +9.9700 +0.0004408      +3514  -0.004872    -0.1235  -809.0170
   +9.9800 +0.0003862      +3079  -0.006013    -0.1048  -587.7853
   +9.9900 +0.0003212      +2561  -0.006947   -0.08199  -309.0170
  +10.0000 +0.0002481      +1978  -0.007639   -0.05651    -0.0000
  +10.0100 +0.0001693      +1350  -0.008071   -0.02974  +309.0170
  +10.0200 +8.757e-05     +698.1  -0.008235  -0.003151  +587.7853
  +10.0300  +5.48e-06     +43.68  -0.008142   +0.02187  +809.0170
  +10.0400 -7.447e-05     -593.7  -0.007812   +0.04413  +951.0565
  +10.0500 -0.0001501      -1196  -0.007277   +0.06275 +1000.0000
  +10.0600 -0.0002195      -1749  -0.006578   +0.07716  +951.0565
  +10.0700 -0.0002812      -2242  -0.005756   +0.08716  +809.0170
  +10.0800 -0.0003343      -2665  -0.004855   +0.09294  +587.7853
  +10.0900 -0.0003782      -3015  -0.003916   +0.09497  +309.0170
  +10.1000 -0.0004126      -3289  -0.002971   +0.09398    +0.0000
  +10.1100 -0.0004377      -3489  -0.002047   +0.09086  -309.0170
  +10.1200 -0.0004537      -3617   -0.00116   +0.08654  -587.7853
  +10.1300  -0.000461      -3675 -0.0003179   +0.08189  -809.0170
  +10.1400 -0.0004602      -3668 +0.0004798   +0.07764  -951.0565
  +10.1500 -0.0004516      -3600  +0.001239   +0.07428 -1000.0000
  +10.1600 -0.0004355      -3472  +0.001971   +0.07202  -951.0565
  +10.1700 -0.0004122      -3286  +0.002685   +0.07077  -809.0170
  +10.1800 -0.0003818      -3044  +0.003389   +0.07017  -587.7853
  +10.1900 -0.0003444      -2746  +0.004088   +0.06962  -309.0170
  +10.2000 -0.0003001      -2392  +0.004778   +0.06835    -0.0000
  +10.2100 -0.0002489      -1984  +0.005448   +0.06553  +309.0170
  +10.2200 -0.0001913      -1525  +0.006077   +0.06036  +587.7853
  +10.2300 -0.0001276      -1017   +0.00664   +0.05218  +809.0170
  +10.2400 -5.881e-05     -468.8  +0.007104   +0.04057  +951.0565
  +10.2500   +1.4e-05     +111.6  +0.007433   +0.02538 +1000.0000
  +10.2600 +8.929e-05     +711.8  +0.007594  +0.006835  +951.0565
  +10.2700 +0.0001652      +1317  +0.007556   -0.01452  +809.0170
  +10.2800 +0.0002397      +1911  +0.007294   -0.03779  +587.7853
  +10.2900 +0.0003103      +2474  +0.006796   -0.06185  +309.0170
  +10.3000 +0.0003748      +2988   +0.00606   -0.08536    +0.0000
  +10.3100 +0.0004308      +3434  +0.005099    -0.1069  -309.0170
  +10.3200 +0.0004761      +3795  +0.003938    -0.1252  -587.7853
  +10.3300  +0.000509      +4058  +0.002616     -0.139  -809.0170
  +10.3400 +0.0005281      +4210  +0.001184    -0.1474  -951.0565
  +10.3500 +0.0005325      +4245 -0.0003026    -0.1499 -1000.0000
  +10.3600  +0.000522      +4161  -0.001782    -0.1461  -951.0565
  +10.3700 +0.0004971      +3962  -0.003194    -0.1363  -809.0170
  +10.3800 +0.0004586      +3656  -0.004482    -0.1212  -587.7853
  +10.3900  +0.000408      +3252  -0.005597    -0.1018  -309.0170
  +10.4000 +0.0003473      +2769  -0.006501   -0.07911    -0.0000
  +10.4100 +0.0002788      +2222   -0.00717   -0.05466  +309.0170
  +10.4200 +0.0002047      +1632  -0.007593   -0.02984  +587.7853
  +10.4300 +0.0001277      +1018  -0.007772  -0.005976  +809.0170
  +10.4400 +5.007e-05     +399.1  -0.007723   +0.01577  +951.0565
  +10.4500 -2.606e-05     -207.7  -0.007471   +0.03451 +1000.0000
  +10.4600 -9.879e-05     -787.5  -0.007051   +0.04967  +951.0565
  +10.4700 -0.0001666      -1328  -0.006497   +0.06107  +809.0170
  +10.4800 -0.0002284      -1821  -0.005847   +0.06882  +587.7853
  +10.4900 -0.0002834      -2259  -0.005136   +0.07337  +309.0170
  +10.5000  -0.000331      -2639  -0.004393    +0.0754    +0.0000
  +10.5100 -0.0003712      -2959  -0.003637   +0.07571  -309.0170
  +10.5200 -0.0004038      -3219  -0.002883   +0.07517  -587.7853
  +10.5300 -0.0004289      -3419  -0.002134   +0.07456  -809.0170
  +10.5400 -0.0004465      -3559  -0.001389   +0.07451  -951.0565
  +10.5500 -0.0004566      -3640  -0.000639   +0.07543 -1000.0000
  +10.5600 -0.0004592      -3661 +0.0001252   +0.07741  -951.0565
  +10.5700  -0.000454      -3619 +0.0009138    +0.0803  -809.0170
  +10.5800 -0.0004408      -3514  +0.001733   +0.08361  -587.7853
  +10.5900 -0.0004193      -3342  +0.002585   +0.08666  -309.0170
  +10.6000  -0.000389      -3101  +0.003461   +0.08861    -0.0000
  +10.6100   -0.00035      -2790  +0.004347   +0.08855  +309.0170
  +10.6200 -0.0003022      -2409  +0.005218   +0.08561  +587.7853
  +10.6300 -0.0002458      -1960  +0.006041    +0.0791  +809.0170
  +10.6400 -0.0001816      -1448  +0.006779   +0.06854  +951.0565
  +10.6500 -0.0001106       -882  +0.007391   +0.05377 +1000.0000
  +10.6600 -3.436e-05     -273.9  +0.007835     +0.035  +951.0565
  +10.6700 +4.537e-05     +361.6  +0.008074   +0.01278  +809.0170
  +10.6800 +0.0001263      +1007  +0.008078   -0.01198  +587.7853
  +10.6900 +0.0002061      +1643  +0.007827   -0.03811  +309.0170
  +10.7000  +0.000282      +2248  +0.007316   -0.06423    +0.0000
  +10.7100 +0.0003515      +2802   +0.00655    -0.0889  -309.0170
  +10.7200 +0.0004122      +3286  +0.005552    -0.1107  -587.7853
  +10.7300 +0.0004619      +3682  +0.004357    -0.1283  -809.0170
  +10.7400 +0.0004989      +3977  +0.003011    -0.1408  -951.0565
  +10.7500 +0.0005218      +4160   +0.00157    -0.1474 -1000.0000
  +10.7600 +0.0005302      +4226 +9.365e-05    -0.1479  -951.0565
  +10.7700 +0.0005238      +4175  -0.001358    -0.1424  -809.0170
  +10.7800 +0.0005033      +4012  -0.002727    -0.1314  -587.7853
  +10.7900 +0.0004697      +3744  -0.003963    -0.1158  -309.0170
  +10.8000 +0.0004246      +3385  -0.005026    -0.0967    -0.0000
  +10.8100 +0.0003698      +2948  -0.005886   -0.07541  +309.0170
  +10.8200 +0.0003076      +2452   -0.00653   -0.05326  +587.7853
  +10.8300   +0.00024      +1913  -0.006954   -0.03154  +809.0170
  +10.8400 +0.0001692      +1349  -0.007168   -0.01136  +951.0565
  +10.8500 +9.725e-05     +775.2  -0.007193  +0.006422 +1000.0000
  +10.8600 +2.589e-05     +206.4  -0.007055   +0.02128  +951.0565
  +10.8700  -4.34e-05       -346  -0.006783     +0.033  +809.0170
  +10.8800 -0.0001094     -872.4   -0.00641   +0.04172  +587.7853
  +10.8900 -0.0001713      -1366  -0.005962   +0.04785  +309.0170
  +10.9000 -0.0002285      -1821  -0.005462   +0.05204    +0.0000
  +10.9100 -0.0002805      -2236  -0.004927   +0.05505  -309.0170
  +10.9200 -0.0003269      -2606  -0.004363   +0.05767  -587.7853
  +10.9300 -0.0003676      -2931  -0.003772   +0.06062  -809.0170
  +10.9400 -0.0004023      -3207  -0.003146   +0.06445  -951.0565
  +10.9500 -0.0004304      -3431  -0.002477   +0.06946 -1000.0000
  +10.9600 -0.0004516      -3600  -0.001751   +0.07569  -951.0565
  +10.9700 -0.0004652      -3709 -0.0009585   +0.08284  -809.0170
  +10.9800 -0.0004705      -3751  -9.24e-05   +0.09037  -587.7853
  +10.9900 -0.0004668      -3721 +0.0008469   +0.09749  -309.0170
  +11.0000 -0.0004534      -3614  +0.001851    +0.1033    -0.0000
  +11.0100 -0.0004297      -3425    +0.0029    +0.1067  +309.0170
  +11.0200 -0.0003953      -3151  +0.003968    +0.1068  +587.7853
  +11.0300 -0.0003504      -2793  +0.005017    +0.1029  +809.0170
  +11.0400 -0.0002952      -2353  +0.006003    +0.0944  +951.0565
  +11.0500 -0.0002307      -1839  +0.006881    +0.0811 +1000.0000
  +11.0600 -0.0001581      -1260  +0.007602   +0.06318  +951.0565
  +11.0700 -7.927e-05     -631.9  +0.008124   +0.04117  +809.0170
  +11.0800 +3.608e-06     +28.76   +0.00841   +0.01597  +587.7853
  +11.0900 +8.805e-05     +701.9  +0.008433   -0.01123  +309.0170
  +11.1000 +0.0001714      +1366  +0.008182   -0.03903    +0.0000
  +11.1100 +0.0002508      +1999  +0.007657   -0.06595  -309.0170
  +11.1200 +0.0003236      +2580  +0.006875   -0.09051  -587.7853
  +11.1300 +0.0003875      +3089  +0.005866    -0.1114  -809.0170
  +11.1400 +0.0004403      +3510  +0.004671    -0.1275  -951.0565
  +11.1500 +0.0004805      +3830  +0.003344     -0.138 -1000.0000
  +11.1600  +0.000507      +4041  +0.001941    -0.1426  -951.0565
  +11.1700 +0.0005193      +4139 +0.0005206    -0.1414  -809.0170
  +11.1800 +0.0005175      +4125 -0.0008596    -0.1347  -587.7853
  +11.1900 +0.0005024      +4005  -0.002149    -0.1233  -309.0170
  +11.2000  +0.000475      +3786  -0.003306    -0.1082    -0.0000
  +11.2100 +0.0004368      +3482  -0.004301   -0.09066  +309.0170
  +11.2200 +0.0003896      +3105  -0.005113   -0.07193  +587.7853
  +11.2300 +0.0003351      +2672  -0.005739   -0.05322  +809.0170
  +11.2400 +0.0002754      +2195  -0.006183   -0.03555  +951.0565
  +11.2500  +0.000212      +1690  -0.006459   -0.01972 +1000.0000
  +11.2600 +0.0001467      +1169  -0.006589  -0.006237  +951.0565
  +11.2700 +8.067e-05       +643  -0.006597  +0.004742  +809.0170
  +11.2800 +1.508e-05     +120.2  -0.006506   +0.01336  +587.7853
  +11.2900  -4.92e-05     -392.2  -0.006339   +0.02004  +309.0170
  +11.3000 -0.0001115     -888.9  -0.006112    +0.0254    +0.0000
  +11.3100 -0.0001713      -1365  -0.005834   +0.03018  -309.0170
  +11.3200  -0.000228      -1818  -0.005508   +0.03514  -587.7853
  +11.3300 -0.0002812      -2242  -0.005127   +0.04094  -809.0170
  +11.3400 -0.0003304      -2633  -0.004682   +0.04807  -951.0565
  +11.3500 -0.0003746      -2986  -0.004158   +0.05675 -1000.0000
  +11.3600 -0.0004132      -3294   -0.00354   +0.06694  -951.0565
  +11.3700 -0.0004451      -3548  -0.002814   +0.07825  -809.0170
  +11.3800 -0.0004691      -3739  -0.001972   +0.09005  -587.7853
  +11.3900 -0.0004841      -3859  -0.001015    +0.1014  -309.0170
  +11.4000  -0.000489      -3898 +4.933e-05    +0.1114    -0.0000
  +11.4100 -0.0004828      -3849    +0.0012    +0.1188  +309.0170
  +11.4200 -0.0004648      -3705  +0.002408    +0.1227  +587.7853
  +11.4300 -0.0004346      -3465  +0.003631    +0.1221  +809.0170
  +11.4400 -0.0003923      -3127  +0.004825    +0.1165  +951.0565
  +11.4500 -0.0003384      -2698  +0.005935    +0.1056 +1000.0000
  +11.4600  -0.000274      -2185  +0.006912   +0.08959  +951.0565
  +11.4700 -0.0002008      -1601  +0.007704   +0.06885  +809.0170
  +11.4800 -0.0001207     -962.4   +0.00827   +0.04429  +587.7853
  +11.4900 -3.627e-05     -289.1  +0.008576   +0.01709  +309.0170
  +11.5000 +4.988e-05     +397.6  +0.008605   -0.01136    +0.0000
  +11.5100 +0.0001349      +1075  +0.008351   -0.03955  -309.0170
  +11.5200  +0.000216      +1722  +0.007823   -0.06598  -587.7853
  +11.5300 +0.0002905      +2316  +0.007047   -0.08928  -809.0170
  +11.5400 +0.0003562      +2839  +0.006059    -0.1083  -951.0565
  +11.5500 +0.0004111      +3277  +0.004906    -0.1222 -1000.0000
  +11.5600  +0.000454      +3619  +0.003642    -0.1306  -951.0565
  +11.5700 +0.0004838      +3857  +0.002323    -0.1333  -809.0170
  +11.5800 +0.0005004      +3989  +0.001002    -0.1308  -587.7853
  +11.5900  +0.000504      +4018 -0.0002695    -0.1236  -309.0170
  +11.6000 +0.0004953      +3948  -0.001452    -0.1128    -0.0000
  +11.6100 +0.0004754      +3790  -0.002513   -0.09944  +309.0170
  +11.6200 +0.0004455      +3552  -0.003434   -0.08468  +587.7853
  +11.6300 +0.0004072      +3246  -0.004205   -0.06963  +809.0170
  +11.6400 +0.0003619      +2885   -0.00483   -0.05526  +951.0565
  +11.6500 +0.0003111      +2480  -0.005317   -0.04228 +1000.0000
  +11.6600  +0.000256      +2040  -0.005684   -0.03113  +951.0565
  +11.6700 +0.0001977      +1576  -0.005949   -0.02192  +809.0170
  +11.6800 +0.0001373      +1094  -0.006131   -0.01447  +587.7853
  +11.6900 +7.532e-05     +600.4  -0.006245  -0.008326  +309.0170
  +11.7000 +1.254e-05       +100  -0.006301  -0.002857    +0.0000
  +11.7100 -5.052e-05     -402.7  -0.006302  +0.002677  -309.0170
  +11.7200 -0.0001133     -903.2  -0.006244  +0.009012  -587.7853
  +11.7300 -0.0001752      -1396  -0.006115   +0.01678  -809.0170
  +11.7400 -0.0002353      -1876  -0.005899   +0.02642  -951.0565
  +11.7500 -0.0002928      -2334  -0.005576   +0.03811 -1000.0000
  +11.7600 -0.0003464      -2761  -0.005127   +0.05172  -951.0565
  +11.7700 -0.0003948      -3147  -0.004534   +0.06681  -809.0170
  +11.7800 -0.0004366      -3480  -0.003787   +0.08264  -587.7853
  +11.7900 -0.0004701      -3747  -0.002883   +0.09823  -309.0170
  +11.8000 -0.0004937      -3936  -0.001829    +0.1125    -0.0000
  +11.8100 -0.0005062      -4035 -0.0006463    +0.1241  +309.0170
  +11.8200 -0.0005063      -4036 +0.0006349    +0.1321  +587.7853
  +11.8300 -0.0004933      -3933  +0.001973    +0.1355  +809.0170
  +11.8400 -0.0004668      -3722  +0.003318    +0.1335  +951.0565
  +11.8500 -0.0004271      -3405  +0.004614    +0.1259 +1000.0000
  +11.8600 -0.0003749      -2989  +0.005807    +0.1126  +951.0565
  +11.8700 -0.0003115      -2483   +0.00684   +0.09407  +809.0170
  +11.8800 -0.0002388      -1904  +0.007666   +0.07118  +587.7853
  +11.8900  -0.000159      -1268  +0.008247   +0.04505  +309.0170
  +11.9000 -7.476e-05       -596  +0.008558   +0.01703    +0.0000
  +11.9100 +1.119e-05     +89.19  +0.008586   -0.01138  -309.0170
  +11.9200 +9.602e-05     +765.5  +0.008336   -0.03866  -587.7853
  +11.9300  +0.000177      +1411  +0.007825   -0.06344  -809.0170
  +11.9400 +0.0002518      +2007  +0.007085   -0.08451  -951.0565
  +11.9500 +0.0003181      +2536  +0.006158     -0.101 -1000.0000
  +11.9600 +0.0003744      +2985   +0.00509    -0.1125  -951.0565
  +11.9700 +0.0004196      +3345  +0.003934    -0.1187  -809.0170
  +11.9800  +0.000453      +3611  +0.002741      -0.12  -587.7853
  +11.9900 +0.0004745      +3782  +0.001557    -0.1169  -309.0170
  +12.0000 +0.0004843      +3861 +0.0004208    -0.1103    -0.0000
