 0.000000000  0.000000000  0.000000000  0.000000000
 0.005000000  0.000000101 -0.000000404  0.000000639
 0.010000000  0.000000807 -0.000003229  0.000005113
 0.015000000  0.000002724 -0.000010895  0.000017250
 0.020000000  0.000006453 -0.000025813  0.000040868
 0.025000000  0.000012595 -0.000050385  0.000079766
 0.030000000  0.000021747 -0.000086996  0.000137722
 0.035000000  0.000034501 -0.000138018  0.000218482
 0.040000000  0.000051444 -0.000205800  0.000325760
 0.045000000  0.000073156 -0.000292668  0.000463228
 0.050000000  0.000100211 -0.000400920  0.000634515
 0.055000000  0.000133175 -0.000532823  0.000843195
 0.060000000  0.000172605 -0.000690611  0.001092788
 0.065000000  0.000219049 -0.000876480  0.001386749
 0.070000000  0.000273045 -0.001092587  0.001728469
 0.075000000  0.000335117 -0.001341044  0.002121262
 0.080000000  0.000405782 -0.001623918  0.002568368
 0.085000000  0.000485539 -0.001943225  0.003072942
 0.090000000  0.000574877 -0.002300930  0.003638050
 0.095000000  0.000674270 -0.002698941  0.004266667
 0.100000000  0.000784178 -0.003139109  0.004961670
 0.105000000  0.000905042 -0.003623224  0.005725834
 0.110000000  0.001037291 -0.004153012  0.006561827
 0.115000000  0.001181334 -0.004730133  0.007472207
 0.120000000  0.001337563 -0.005356178  0.008459416
 0.125000000  0.001506354 -0.006032667  0.009525778
 0.130000000  0.001688060 -0.006761048  0.010673493
 0.135000000  0.001883019 -0.007542691  0.011904635
 0.140000000  0.002091547 -0.008378891  0.013221149
 0.145000000  0.002313938 -0.009270859  0.014624844
 0.150000000  0.002550467 -0.010219729  0.016117393
 0.155000000  0.002801388 -0.011226549  0.017700331
 0.160000000  0.003066933 -0.012292280  0.019375049
 0.165000000  0.003347309 -0.013417801  0.021142792
 0.170000000  0.003642703 -0.014603897  0.023004657
 0.175000000  0.003953280 -0.015851268  0.024961593
 0.180000000  0.004279178 -0.017160518  0.027014396
 0.185000000  0.004620514 -0.018532164  0.029163706
 0.190000000  0.004977381 -0.019966625  0.031410010
 0.195000000  0.005349846 -0.021464229  0.033753635
 0.200000000  0.005737955 -0.023025206  0.036194752
 0.205000000  0.006141726 -0.024649694  0.038733369
 0.210000000  0.006561153 -0.026337731  0.041369337
 0.215000000  0.006996208 -0.028089261  0.044102344
 0.220000000  0.007446834 -0.029904128  0.046931915
 0.225000000  0.007912953 -0.031782082  0.049857416
 0.230000000  0.008394459 -0.033722773  0.052878047
 0.235000000  0.008891224 -0.035725755  0.055992850
 0.240000000  0.009403091 -0.037790484  0.059200703
 0.245000000  0.009929883 -0.039916320  0.062500324
 0.250000000  0.010471394 -0.042102526  0.065890270
 0.255000000  0.011027397 -0.044348269  0.069368941
 0.260000000  0.011597639 -0.046652622  0.072934575
 0.265000000  0.012181843 -0.049014562  0.076585258
 0.270000000  0.012779707 -0.051432974  0.080318919
 0.275000000  0.013390908 -0.053906647  0.084133333
 0.280000000  0.014015097 -0.056434284  0.088026126
 0.285000000  0.014651904 -0.059014494  0.091994773
 0.290000000  0.015300936 -0.061645799  0.096036604
 0.295000000  0.015961775 -0.064326633  0.100148806
 0.300000000  0.016633985 -0.067055344  0.104328423
 0.305000000  0.017317108 -0.069830198  0.108572362
 0.310000000  0.018010662 -0.072649378  0.112877397
 0.315000000  0.018714147 -0.075510985  0.117240167
 0.320000000  0.019427044 -0.078413046  0.121657186
 0.325000000  0.020148813 -0.081353508  0.126124843
 0.330000000  0.020878896 -0.084330248  0.130639406
 0.335000000  0.021616715 -0.087341068  0.135197029
 0.340000000  0.022361679 -0.090383705  0.139793751
 0.345000000  0.023113174 -0.093455826  0.144425505
 0.350000000  0.023870575 -0.096555036  0.149088122
 0.355000000  0.024633240 -0.099678880  0.153777332
 0.360000000  0.025400510 -0.102824844  0.158488773
 0.365000000  0.026171716 -0.105990356  0.163217995
 0.370000000  0.026946171 -0.109172797  0.167960461
 0.375000000  0.027723181 -0.112369493  0.172711560
 0.380000000  0.028502035 -0.115577727  0.177466603
 0.385000000  0.029282014 -0.118794738  0.182220837
